employee_id,available_from,available_to,allocation_percent,availability_status
E00001,2026-04-16,2026-05-05,100,Fully Allocated
E00002,2026-03-08,2026-04-14,90,Partially Available
E00003,2026-04-21,2026-05-17,70,Partially Available
E00004,2026-04-01,2026-05-05,50,Available
E00005,2026-04-25,2026-05-29,90,Partially Available
E00006,2026-04-07,2026-05-09,40,Available
E00007,2026-03-28,2026-05-04,70,Partially Available
E00008,2026-04-26,2026-05-27,60,Available
E00009,2026-04-05,2026-06-16,20,Available
E00010,2026-03-19,2026-04-22,70,Partially Available
E00011,2026-04-27,2026-05-28,40,Available
E00012,2026-04-26,2026-05-26,90,Partially Available
E00013,2026-03-18,2026-06-13,50,Available
E00014,2026-04-24,2026-07-02,20,Available
E00015,2026-04-15,2026-06-18,50,Available
E00016,2026-03-26,2026-06-16,50,Available
E00017,2026-05-11,2026-08-07,30,Available
E00018,2026-04-07,2026-04-25,80,Partially Available
E00019,2026-05-05,2026-07-26,40,Available
E00020,2026-05-30,2026-08-03,40,Available
E00021,2026-05-11,2026-05-25,100,Fully Allocated
E00022,2026-05-17,2026-06-06,90,Partially Available
E00023,2026-03-18,2026-04-15,70,Partially Available
E00024,2026-03-15,2026-04-28,10,Available
E00025,2026-04-18,2026-05-31,80,Partially Available
E00026,2026-04-20,2026-07-07,40,Available
E00027,2026-05-06,2026-07-11,10,Available
E00028,2026-05-08,2026-07-09,20,Available
E00029,2026-04-10,2026-05-06,70,Partially Available
E00030,2026-05-08,2026-06-25,20,Available
E00031,2026-05-12,2026-06-22,50,Available
E00032,2026-05-02,2026-07-13,50,Available
E00033,2026-05-04,2026-07-26,40,Available
E00034,2026-03-14,2026-04-21,10,Available
E00035,2026-04-28,2026-06-15,60,Available
E00036,2026-04-16,2026-06-16,30,Available
E00037,2026-03-29,2026-05-25,30,Available
E00038,2026-04-03,2026-05-30,20,Available
E00039,2026-05-15,2026-08-12,20,Available
E00040,2026-02-19,2026-04-20,60,Available
E00041,2026-03-03,2026-04-15,70,Partially Available
E00042,2026-03-21,2026-05-25,30,Available
E00043,2025-04-05,2025-05-02,80,Partially Available
E00044,2026-04-27,2026-07-07,30,Available
E00045,2026-04-21,2026-05-06,70,Partially Available
E00046,2026-04-28,2026-05-22,90,Partially Available
E00047,2026-04-09,2026-05-26,60,Available
E00048,2026-04-07,2026-06-04,10,Available
E00049,2026-04-23,2026-07-06,10,Available
E00050,2026-05-09,2026-07-16,30,Available
E00051,2026-04-16,2026-05-08,90,Partially Available
E00052,2026-03-24,2026-06-10,10,Available
E00053,2026-03-20,2026-06-14,50,Available
E00054,2026-05-10,2026-06-15,80,Partially Available
E00055,2026-04-22,2026-05-07,80,Partially Available
E00056,2026-03-19,2026-06-04,50,Available
E00057,2026-03-01,2026-04-30,60,Available
E00058,2026-03-04,2026-04-22,60,Available
E00059,2026-02-13,2026-04-19,10,Available
E00060,2026-03-30,2026-05-21,50,Available
E00061,2026-05-02,2026-06-17,10,Available
E00062,2026-04-27,2026-05-24,90,Partially Available
E00063,2026-04-18,2026-05-27,20,Available
E00064,2026-04-04,2026-04-27,80,Partially Available
E00065,2026-05-02,2026-07-16,50,Available
E00066,2026-02-06,2026-03-24,10,Available
E00067,2026-04-16,2026-07-12,20,Available
E00068,2026-04-14,2026-05-16,60,Available
E00069,2026-04-08,2026-04-23,90,Partially Available
E00070,2026-05-07,2026-06-06,40,Available
E00071,2026-03-14,2026-05-02,30,Available
E00072,2026-03-20,2026-03-28,100,Fully Allocated
E00073,2026-03-31,2026-05-15,50,Available
E00074,2026-04-08,2026-05-16,20,Available
E00075,2026-05-06,2026-06-18,50,Available
E00076,2026-03-16,2026-03-31,80,Partially Available
E00077,2026-05-09,2026-07-12,10,Available
E00078,2026-03-23,2026-05-09,20,Available
E00079,2026-05-05,2026-05-20,80,Partially Available
E00080,2026-04-03,2026-04-28,80,Partially Available
E00081,2026-04-28,2026-07-23,60,Available
E00082,2026-04-26,2026-05-30,60,Available
E00083,2026-05-15,2026-06-24,20,Available
E00084,2026-05-14,2026-07-20,10,Available
E00085,2026-03-11,2026-05-03,10,Available
E00086,2026-03-03,2026-05-10,30,Available
E00087,2026-02-26,2026-03-25,70,Partially Available
E00088,2026-03-29,2026-04-27,100,Fully Allocated
E00089,2026-05-14,2026-06-28,30,Available
E00090,2026-04-20,2026-05-29,80,Partially Available
E00091,2026-05-01,2026-06-02,30,Available
E00092,2026-04-13,2026-07-09,50,Available
E00093,2026-04-28,2026-07-13,30,Available
E00094,2026-04-01,2026-04-23,90,Partially Available
E00095,2026-05-01,2026-07-01,40,Available
E00096,2026-05-07,2026-06-12,90,Partially Available
E00097,2026-04-20,2026-05-28,70,Partially Available
E00098,2026-05-04,2026-06-07,70,Partially Available
E00099,2026-03-03,2026-04-02,80,Partially Available
E00100,2026-03-13,2026-04-28,60,Available
E00101,2026-04-30,2026-06-25,20,Available
E00102,2026-05-07,2026-05-26,100,Fully Allocated
E00103,2026-04-22,2026-05-24,20,Available
E00104,2026-04-13,2026-06-07,30,Available
E00105,2026-05-03,2026-07-06,50,Available
E00106,2026-05-09,2026-06-20,20,Available
E00107,2026-03-25,2026-05-10,10,Available
E00108,2026-03-25,2026-05-23,50,Available
E00109,2026-03-23,2026-05-20,60,Available
E00110,2026-04-29,2026-06-11,10,Available
E00111,2026-05-05,2026-07-03,30,Available
E00112,2026-05-03,2026-07-08,30,Available
E00113,2026-04-28,2026-07-10,30,Available
E00114,2026-04-18,2026-05-18,80,Partially Available
E00115,2026-04-30,2026-07-06,50,Available
E00116,2026-03-09,2026-04-16,20,Available
E00117,2026-04-04,2026-05-04,90,Partially Available
E00118,2026-05-07,2026-06-14,80,Partially Available
E00119,2026-04-14,2026-05-17,30,Available
E00120,2026-04-19,2026-05-24,60,Available
E00121,2026-04-26,2026-07-15,60,Available
E00122,2026-04-04,2026-05-04,60,Available
E00123,2026-03-26,2026-05-19,30,Available
E00124,2026-04-12,2026-06-20,60,Available
E00125,2026-05-02,2026-07-08,60,Available
E00126,2026-04-10,2026-05-12,20,Available
E00127,2026-04-24,2026-07-21,20,Available
E00128,2026-04-04,2026-05-09,90,Partially Available
E00129,2026-04-28,2026-06-10,20,Available
E00130,2026-05-02,2026-06-30,40,Available
E00131,2026-03-13,2026-06-07,10,Available
E00132,2026-04-08,2026-07-01,60,Available
E00133,2026-03-23,2026-03-31,100,Fully Allocated
E00134,2026-04-20,2026-05-20,90,Partially Available
E00135,2026-03-25,2026-05-15,40,Available
E00136,2026-04-10,2026-05-22,50,Available
E00137,2026-04-23,2026-06-16,10,Available
E00138,2026-03-25,2026-04-24,70,Partially Available
E00139,2026-04-07,2026-04-24,100,Fully Allocated
E00140,2026-04-07,2026-05-17,40,Available
E00141,2026-02-28,2026-05-16,40,Available
E00142,2026-03-29,2026-05-07,20,Available
E00143,2026-04-22,2026-07-09,10,Available
