employee_id,project_id,role_in_project,start_date,end_date,task_count,performance_score,project_success_score,manager_feedback_score
E00001,P00007,Coordinator,2025-02-01,2025-02-17,1,5.8,5.4,7.1
E00001,P00020,Coordinator,2024-06-16,2024-09-03,2,8.6,9.1,8.5
E00001,P00100,Coordinator,2024-06-03,2024-06-10,1,7.2,7.9,7.8
E00001,P00154,Coordinator,2024-12-14,2024-12-21,1,6.6,7.4,7.5
E00001,P00157,Coordinator,2023-12-17,2024-01-02,1,6.3,7.5,7.4
E00001,P00196,Coordinator,2025-10-16,2025-10-20,1,6.4,6.6,7.4
E00001,P00257,Coordinator,2023-05-02,2023-05-16,1,6.4,6.6,7.4
E00001,P00285,Coordinator,2023-04-12,2023-04-21,1,6.6,7.6,7.5
E00001,P00340,Coordinator,2024-07-20,2024-07-30,1,5.5,5.0,7.0
E00001,P00376,Coordinator,2026-02-18,2026-02-23,1,7.2,7.4,7.8
E00001,P00377,Coordinator,2024-03-19,2024-03-21,1,5.5,5.0,7.0
E00001,P00413,Coordinator,2023-06-18,2023-06-21,1,6.3,6.9,7.4
E00001,P00482,Coordinator,2023-09-19,2023-09-24,1,6.6,6.3,7.5
E00001,P00553,Coordinator,2025-02-04,2025-02-08,1,8.0,8.6,8.2
E00001,P00611,Coordinator,2024-05-23,2024-06-06,1,7.5,8.8,8.0
E00001,P00628,Coordinator,2023-11-15,2023-11-26,1,6.8,7.2,7.6
E00001,P00684,Coordinator,2024-05-03,2024-05-14,1,7.0,7.0,7.7
E00001,P00698,Coordinator,2024-09-20,2024-10-04,1,7.1,8.2,7.8
E00001,P00700,Coordinator,2024-07-12,2024-07-23,1,6.2,7.2,7.3
E00001,P00740,Coordinator,2026-03-05,2026-04-01,1,5.5,5.0,7.0
E00001,P00785,Coordinator,2025-07-25,2025-07-30,1,8.4,9.7,8.4
E00001,P00875,Coordinator,2025-05-17,2025-05-19,1,8.4,9.7,8.4
E00002,P00058,Contributor,2025-06-13,2025-07-07,1,6.0,5.9,6.9
E00002,P00629,Contributor,2026-02-16,2026-03-03,1,6.0,7.1,6.9
E00002,P00645,Contributor,2025-08-29,2025-09-11,1,5.7,5.2,6.8
E00002,P00816,Contributor,2025-11-18,2025-12-02,1,5.5,5.0,6.6
E00003,P00068,Contributor,2026-03-18,2026-04-15,1,6.7,7.7,7.6
E00003,P00083,Contributor,2023-09-19,2023-09-23,1,5.5,5.0,7.0
E00003,P00113,Contributor,2024-01-18,2024-01-26,1,8.0,9.3,8.3
E00003,P00134,Contributor,2026-03-28,2026-04-21,1,7.2,8.5,7.9
E00003,P00153,Contributor,2024-12-12,2024-12-27,1,6.8,8.1,7.7
E00003,P00247,Contributor,2025-10-22,2025-11-02,1,7.7,9.0,8.2
E00003,P00272,Contributor,2025-10-22,2025-11-02,1,5.5,5.0,7.0
E00003,P00297,Contributor,2025-06-25,2025-06-29,1,6.3,7.6,7.4
