employee_id_1,employee_id_2,compatibility_score,collaboration_count,last_collaboration_date
E00105,E00350,7.3,1,2025-06-13
E00105,E00811,6.3,1,2025-06-13
E00130,E00555,7.8,1,2025-06-13
E00130,E00922,6.3,1,2025-06-13
E00143,E00555,8.1,1,2025-06-13
E00143,E00811,5.9,1,2025-06-13
E00143,E00922,7.3,1,2025-06-13
E00555,E00929,7.2,1,2025-06-13
E00811,E00944,6.3,1,2025-06-13
E00008,E00081,6.3,1,2026-03-14
E00008,E00230,6.0,1,2026-03-14
E00018,E00077,6.5,3,2026-03-14
E00077,E00379,5.5,1,2026-03-14
E00081,E00087,7.1,1,2026-03-14
E00081,E00230,7.0,1,2026-03-14
E00081,E00240,6.6,1,2026-03-14
E00087,E00230,6.9,1,2026-03-14
E00138,E00295,7.6,2,2026-03-14
E00138,E00338,6.2,1,2026-03-14
E00279,E00320,6.4,1,2026-03-14
E00279,E00338,5.5,1,2026-03-14
E00279,E00379,5.5,1,2026-03-14
E00320,E00331,7.2,1,2026-03-14
E00018,E00188,7.4,2,2026-04-10
E00019,E00095,6.1,2,2026-04-10
E00039,E00314,9.3,1,2026-04-10
E00053,E00284,7.7,1,2026-04-10
E00083,E00145,7.6,1,2026-04-10
E00083,E00274,7.6,1,2026-04-10
E00095,E00274,6.3,1,2026-04-10
E00095,E00284,6.2,1,2026-04-10
E00121,E00145,8.3,1,2026-04-10
E00121,E00274,8.4,1,2026-04-10
E00145,E00188,6.9,1,2026-04-10
E00188,E00260,6.0,1,2026-04-10
E00188,E00261,6.3,2,2026-04-10
E00188,E00274,6.1,1,2026-04-10
E00274,E00314,8.5,1,2026-04-10
E00072,E00118,7.4,1,2024-12-05
E00072,E00443,6.8,1,2024-12-05
E00175,E00384,7.4,1,2024-12-05
E00180,E00443,5.7,1,2024-12-05
E00323,E00443,7.5,1,2024-12-05
E00325,E00342,5.5,1,2024-12-05
E00325,E00443,6.5,1,2024-12-05
E00008,E00071,7.4,2,2025-01-07
E00008,E00145,7.7,1,2024-07-21
E00008,E00185,6.2,1,2024-07-21
E00008,E00300,6.6,1,2024-07-21
E00014,E00117,8.1,1,2024-07-21
E00071,E00162,5.9,1,2024-07-21
E00071,E00185,6.1,1,2024-07-21
E00117,E00127,7.2,1,2024-07-21
E00117,E00330,6.8,1,2024-07-21
E00119,E00314,5.6,1,2024-07-21
E00127,E00300,5.9,1,2024-07-21
E00142,E00300,6.0,1,2024-07-21
E00142,E00314,5.6,1,2024-07-21
E00145,E00162,6.9,1,2024-07-21
E00145,E00250,7.0,1,2024-07-21
E00236,E00250,6.0,2,2026-03-10
E00236,E00300,6.4,1,2024-07-21
E00300,E00314,6.6,2,2024-09-24
E00020,E00261,8.1,2,2026-04-08
E00020,E00439,7.4,1,2024-10-26
E00034,E00242,7.0,1,2024-10-26
E00034,E00261,7.3,2,2024-10-26
E00034,E00455,6.8,1,2024-10-26
E00070,E00503,6.2,1,2024-10-26
E00244,E00369,7.2,1,2024-10-26
E00244,E00455,6.4,1,2024-10-26
E00261,E00439,6.7,1,2024-10-26
E00369,E00455,8.1,1,2024-10-26
E00439,E00455,6.6,1,2024-10-26
E00503,E00519,7.9,1,2024-10-26
E00008,E00286,6.0,1,2025-07-29
E00008,E00311,7.2,1,2025-07-29
E00056,E00253,6.1,1,2025-07-29
E00056,E00286,5.5,1,2025-07-29
E00056,E00295,6.2,1,2025-07-29
E00056,E00311,6.7,1,2025-07-29
E00113,E00311,7.8,1,2025-07-29
E00198,E00286,5.5,1,2025-07-29
E00015,E00127,6.5,1,2025-07-19
E00015,E00205,5.5,1,2025-07-19
E00053,E00077,7.7,1,2025-07-19
E00053,E00266,9.1,1,2025-07-19
E00091,E00127,7.2,1,2025-07-19
E00091,E00247,6.2,1,2025-07-19
E00124,E00127,7.5,1,2025-07-19
E00124,E00175,7.4,2,2025-07-19
E00127,E00153,7.2,1,2025-07-19
E00153,E00266,6.7,1,2025-07-19
E00212,E00247,5.8,1,2025-07-19
E00007,E00069,7.1,2,2026-02-27
E00007,E00294,7.9,1,2024-02-24
E00007,E00307,7.3,2,2024-02-24
E00046,E00170,5.7,2,2025-11-20
E00046,E00294,8.1,1,2024-02-24
E00046,E00364,5.6,1,2024-02-24
E00060,E00064,6.6,1,2024-02-24
E00064,E00221,7.0,3,2026-01-16
E00069,E00294,7.1,2,2024-05-10
E00091,E00364,5.5,1,2024-02-24
E00140,E00152,6.1,1,2024-02-24
E00148,E00152,6.5,1,2024-02-24
E00148,E00215,7.1,1,2024-02-24
E00148,E00307,6.5,2,2024-02-24
E00152,E00215,6.7,1,2024-02-24
E00152,E00221,5.8,2,2026-04-03
E00152,E00294,8.5,1,2024-02-24
E00152,E00364,6.5,3,2026-04-10
E00170,E00215,6.5,1,2024-02-24
E00176,E00307,5.8,2,2025-02-11
