employee_id,skill_id,years_experience,proficiency_level,last_used_date,certified_flag,skill_priority
E00001,SK011,1.0,Beginner,2025-12-08,0,High
E00001,SK017,1.0,Beginner,2026-03-04,0,High
E00001,SK033,0.5,Beginner,2024-12-13,0,Medium
E00002,SK033,3.6,Intermediate,2025-03-17,0,High
E00003,SK004,5.0,Advanced,2025-05-20,0,High
E00003,SK009,2.3,Intermediate,2025-09-14,0,Medium
E00003,SK037,3.3,Intermediate,2025-05-15,1,Medium
E00004,SK004,5.8,Advanced,2026-01-25,0,High
E00004,SK032,2.6,Intermediate,2025-09-16,0,Medium
E00004,SK035,1.0,Beginner,2025-07-24,0,Low
E00004,SK038,4.5,Advanced,2025-11-14,0,Medium
E00005,SK001,4.1,Advanced,2025-10-09,1,Medium
E00005,SK016,4.9,Advanced,2026-03-11,0,Medium
E00005,SK017,3.0,Intermediate,2025-04-19,1,Medium
E00005,SK018,4.1,Advanced,2025-01-21,1,Medium
E00005,SK020,4.3,Advanced,2025-08-31,1,High
E00006,SK005,4.4,Advanced,2025-02-28,1,Medium
E00006,SK007,3.8,Intermediate,2024-12-03,0,Medium
E00006,SK011,6.0,Advanced,2025-10-14,1,High
E00006,SK017,2.8,Intermediate,2025-06-27,1,Low
E00006,SK019,2.7,Intermediate,2025-06-02,0,Medium
E00006,SK024,6.0,Advanced,2026-01-31,1,High
E00006,SK025,5.0,Advanced,2025-09-18,1,Medium
E00007,SK002,4.2,Advanced,2026-01-19,0,Low
E00007,SK004,3.6,Intermediate,2024-10-20,0,Medium
E00007,SK011,10.0,Advanced,2024-12-08,1,High
E00007,SK013,7.9,Advanced,2025-02-26,0,High
E00007,SK027,4.1,Advanced,2024-11-20,0,Low
E00008,SK004,13.5,Advanced,2025-11-10,0,High
E00008,SK005,7.2,Advanced,2024-11-07,1,Medium
E00008,SK009,9.2,Advanced,2025-12-16,1,Medium
E00008,SK011,3.8,Intermediate,2024-12-18,0,Low
E00008,SK027,18.0,Advanced,2024-11-07,0,High
E00009,SK017,0.5,Beginner,2024-12-19,1,Medium
E00009,SK021,0.5,Beginner,2025-07-27,1,Medium
E00009,SK024,0.5,Beginner,2024-11-25,1,Medium
E00009,SK027,0.5,Beginner,2025-10-05,1,High
E00009,SK031,0.5,Beginner,2025-07-25,1,Low
E00010,SK022,3.0,Intermediate,2026-02-25,1,High
E00010,SK026,0.8,Beginner,2025-04-28,1,Low
E00010,SK034,0.5,Beginner,2024-12-07,1,Low
E00010,SK035,0.5,Beginner,2025-03-13,1,Low
E00010,SK036,1.1,Beginner,2025-07-09,1,Medium
E00011,SK006,3.2,Intermediate,2025-08-12,1,Low
E00011,SK007,10.2,Advanced,2025-03-16,1,High
E00011,SK011,7.5,Advanced,2025-12-02,1,Medium
E00011,SK022,5.7,Advanced,2025-06-30,1,Medium
E00011,SK033,3.6,Intermediate,2025-12-02,1,Low
E00012,SK009,1.4,Beginner,2026-03-23,0,Low
E00012,SK011,2.1,Intermediate,2025-08-12,0,Low
E00012,SK027,6.9,Advanced,2025-11-15,0,High
E00012,SK031,4.0,Advanced,2025-02-02,0,Medium
E00013,SK011,2.9,Intermediate,2025-09-22,0,High
E00013,SK015,0.8,Beginner,2025-06-04,0,Low
E00013,SK018,2.1,Intermediate,2025-09-08,0,Medium
E00013,SK024,2.2,Intermediate,2024-10-30,0,Medium
E00013,SK029,1.6,Beginner,2025-09-05,0,Medium
E00014,SK001,3.9,Intermediate,2025-04-10,0,High
E00014,SK010,4.2,Advanced,2025-02-15,0,High
E00014,SK011,2.1,Intermediate,2025-10-28,1,Low
E00015,SK004,2.0,Intermediate,2025-04-21,0,High
E00015,SK017,1.5,Beginner,2024-12-07,0,Medium
E00015,SK022,1.6,Beginner,2025-02-03,0,High
E00015,SK024,1.6,Beginner,2025-07-05,0,Medium
E00016,SK002,14.0,Advanced,2026-03-23,0,High
E00016,SK009,4.5,Advanced,2025-10-16,1,Low
E00016,SK013,7.3,Advanced,2025-12-16,0,Medium
E00016,SK024,10.9,Advanced,2026-01-30,0,Medium
E00016,SK034,1.9,Beginner,2025-01-29,0,Low
E00016,SK037,4.8,Advanced,2025-08-10,1,Low
E00017,SK002,9.0,Advanced,2025-04-21,0,High
E00017,SK006,2.5,Intermediate,2025-10-15,0,Low
E00017,SK007,3.2,Intermediate,2025-02-20,0,Medium
E00017,SK028,2.1,Intermediate,2024-11-06,0,Low
E00018,SK001,7.7,Advanced,2025-02-17,1,Medium
E00018,SK002,6.2,Advanced,2024-12-10,1,Medium
E00018,SK011,4.7,Advanced,2026-02-15,0,Medium
E00018,SK015,5.9,Advanced,2025-06-15,1,Medium
E00018,SK016,8.6,Advanced,2025-06-14,0,High
E00018,SK022,1.9,Beginner,2024-10-25,1,Low
E00019,SK020,1.0,Beginner,2025-08-17,1,Low
E00019,SK022,2.9,Intermediate,2024-10-23,1,Medium
E00019,SK024,4.2,Advanced,2025-06-18,1,High
E00019,SK025,3.8,Intermediate,2025-12-16,0,Medium
E00019,SK036,0.8,Beginner,2025-07-15,1,Low
E00020,SK004,3.6,Intermediate,2025-11-17,1,Medium
E00020,SK006,1.8,Beginner,2025-05-06,1,Low
E00020,SK008,5.2,Advanced,2025-06-10,0,High
E00020,SK009,1.4,Beginner,2024-11-20,0,Low
E00020,SK013,5.0,Advanced,2025-02-25,0,Medium
E00020,SK029,3.5,Intermediate,2025-02-10,0,Medium
E00020,SK036,2.1,Intermediate,2026-02-17,0,Low
E00021,SK009,8.4,Advanced,2025-02-18,1,Medium
E00021,SK022,5.5,Advanced,2025-11-02,1,Low
E00021,SK023,4.8,Advanced,2026-02-02,1,Medium
E00021,SK029,7.5,Advanced,2025-11-20,0,Medium
