project_id,skill_id,importance_weight,minimum_proficiency,minimum_experience_years,required_flag
P00001,SK017,1.0,Intermediate,2,1
P00002,SK011,0.097,Beginner,1,0
P00002,SK024,0.466,Advanced,4,1
P00002,SK025,0.437,Advanced,5,1
P00003,SK001,0.211,Intermediate,2,1
P00003,SK011,0.021,Intermediate,2,0
P00003,SK014,0.505,Intermediate,3,1
P00003,SK024,0.263,Intermediate,3,1
P00004,SK004,0.25,Beginner,1,0
P00004,SK005,0.269,Intermediate,2,1
P00004,SK027,0.481,Advanced,4,1
P00005,SK011,0.404,Advanced,4,1
P00005,SK013,0.128,Intermediate,2,0
P00005,SK015,0.145,Intermediate,2,1
P00005,SK018,0.035,Beginner,1,0
P00005,SK020,0.137,Beginner,1,1
P00005,SK022,0.151,Beginner,1,1
P00006,SK020,0.315,Beginner,1,1
P00006,SK021,0.114,Beginner,1,0
P00006,SK026,0.224,Advanced,4,1
P00006,SK036,0.347,Advanced,5,1
P00007,SK011,0.509,Beginner,1,1
P00007,SK017,0.006,Advanced,4,0
P00007,SK024,0.253,Beginner,1,1
P00007,SK027,0.232,Beginner,2,1
P00008,SK001,0.095,Beginner,1,0
P00008,SK011,0.216,Intermediate,3,1
P00008,SK013,0.204,Beginner,1,1
P00008,SK024,0.485,Advanced,5,1
P00009,SK013,0.344,Advanced,4,1
P00009,SK017,0.077,Beginner,1,0
P00009,SK024,0.579,Beginner,1,1
P00010,SK004,0.405,Advanced,5,1
P00010,SK024,0.224,Beginner,1,0
P00010,SK029,0.372,Intermediate,2,1
P00011,SK019,0.374,Intermediate,2,1
P00011,SK020,0.045,Intermediate,3,1
P00011,SK021,0.127,Intermediate,2,1
P00011,SK022,0.418,Advanced,5,1
P00011,SK024,0.031,Intermediate,2,0
P00011,SK026,0.005,Intermediate,2,0
P00012,SK024,0.531,Intermediate,3,1
P00012,SK029,0.469,Intermediate,2,1
P00013,SK002,0.563,Advanced,4,1
P00013,SK024,0.116,Intermediate,2,0
P00013,SK029,0.321,Intermediate,3,1
P00014,SK011,0.044,Intermediate,2,0
P00014,SK022,0.26,Beginner,1,1
P00014,SK023,0.217,Intermediate,3,1
P00014,SK024,0.084,Beginner,1,0
P00014,SK025,0.106,Advanced,5,1
P00014,SK026,0.29,Intermediate,2,1
P00015,SK005,0.537,Beginner,2,1
P00015,SK010,0.463,Intermediate,2,1
P00016,SK020,0.003,Beginner,1,0
P00016,SK022,0.374,Beginner,2,1
P00016,SK023,0.503,Intermediate,2,1
P00016,SK025,0.12,Intermediate,2,1
P00017,SK022,0.314,Intermediate,2,1
P00017,SK024,0.224,Advanced,4,1
P00017,SK025,0.242,Intermediate,2,1
P00017,SK026,0.22,Beginner,1,0
P00018,SK001,0.102,Intermediate,2,0
P00018,SK002,0.698,Beginner,1,1
P00018,SK029,0.2,Beginner,1,1
P00019,SK024,0.528,Beginner,2,1
P00019,SK028,0.472,Intermediate,2,1
P00020,SK001,0.172,Beginner,1,1
P00020,SK011,0.112,Intermediate,3,1
P00020,SK013,0.618,Intermediate,2,1
P00020,SK014,0.081,Beginner,1,0
P00020,SK023,0.016,Intermediate,2,0
P00021,SK021,0.023,Intermediate,2,0
P00021,SK022,0.108,Intermediate,2,0
P00021,SK023,0.331,Advanced,4,1
P00021,SK024,0.146,Intermediate,2,1
P00021,SK025,0.11,Advanced,4,1
P00021,SK026,0.282,Advanced,5,1
P00022,SK014,0.124,Beginner,1,0
P00022,SK017,0.602,Intermediate,2,1
P00022,SK022,0.274,Advanced,4,1
P00023,SK011,0.359,Advanced,4,1
P00023,SK017,0.161,Advanced,5,1
P00023,SK024,0.055,Beginner,1,0
P00023,SK025,0.425,Advanced,5,1
P00024,SK019,0.099,Intermediate,2,0
P00024,SK022,0.008,Beginner,1,0
P00024,SK023,0.208,Intermediate,2,1
P00024,SK024,0.195,Advanced,5,1
P00024,SK025,0.304,Intermediate,2,1
P00024,SK026,0.186,Intermediate,2,1
P00025,SK019,0.546,Intermediate,2,1
P00025,SK020,0.364,Intermediate,2,1
P00025,SK023,0.091,Beginner,1,0
P00026,SK011,0.415,Beginner,1,1
P00026,SK017,0.499,Intermediate,2,1
P00026,SK027,0.086,Beginner,1,0
P00027,SK024,0.68,Intermediate,2,1
P00027,SK027,0.32,Advanced,4,1
P00028,SK011,0.464,Advanced,4,1
P00028,SK025,0.536,Intermediate,3,1
P00029,SK022,0.659,Advanced,5,1
P00029,SK024,0.073,Advanced,4,0
P00029,SK025,0.268,Intermediate,3,1
P00030,SK022,0.391,Intermediate,2,1
P00030,SK023,0.277,Intermediate,2,0
P00030,SK025,0.332,Advanced,4,1
P00031,SK001,0.158,Advanced,4,1
P00031,SK013,0.157,Intermediate,2,0
P00031,SK018,0.259,Intermediate,2,1
P00031,SK024,0.425,Beginner,1,1
P00032,SK004,0.291,Advanced,5,1
P00032,SK005,0.211,Intermediate,2,1
P00032,SK010,0.374,Intermediate,2,1
P00032,SK013,0.125,Beginner,1,0
P00033,SK021,0.475,Intermediate,2,1
P00033,SK024,0.355,Intermediate,3,1
P00033,SK036,0.17,Beginner,1,0
P00034,SK001,0.495,Intermediate,2,1
P00034,SK013,0.071,Beginner,1,0
P00034,SK018,0.25,Intermediate,2,1
P00034,SK023,0.168,Advanced,4,1
P00034,SK024,0.017,Beginner,1,0
P00035,SK021,0.46,Intermediate,2,1
