skill_id_1,skill_id_2,similarity_score,relation_type
SK011,SK012,0.92,is_a
SK012,SK011,0.92,is_a
SK011,SK013,0.9,is_a
SK013,SK011,0.9,is_a
SK012,SK013,0.84,related
SK013,SK012,0.84,related
SK001,SK008,0.91,framework_of
SK008,SK001,0.91,framework_of
SK001,SK009,0.88,framework_of
SK009,SK001,0.88,framework_of
SK002,SK010,0.93,framework_of
SK010,SK002,0.93,framework_of
SK004,SK005,0.92,framework_of
SK005,SK004,0.92,framework_of
SK004,SK006,0.9,framework_of
SK006,SK004,0.9,framework_of
SK004,SK007,0.89,runtime_related
SK007,SK004,0.89,runtime_related
SK019,SK020,0.9,tool_of
SK020,SK019,0.9,tool_of
SK019,SK021,0.88,tool_of
SK021,SK019,0.88,tool_of
SK019,SK022,0.8,platform_related
SK022,SK019,0.8,platform_related
SK019,SK023,0.8,platform_related
SK023,SK019,0.8,platform_related
SK028,SK029,0.95,is_a
SK029,SK028,0.95,is_a
SK018,SK017,0.85,related
SK017,SK018,0.85,related
SK018,SK015,0.9,related
SK015,SK018,0.9,related
SK015,SK016,0.93,is_a
SK016,SK015,0.93,is_a
SK030,SK031,0.91,is_a
SK031,SK030,0.91,is_a
SK030,SK032,0.91,is_a
SK032,SK030,0.91,is_a
SK033,SK034,0.94,framework_of
SK034,SK033,0.94,framework_of
SK039,SK045,0.88,related
SK045,SK039,0.88,related
SK039,SK050,0.86,related
SK050,SK039,0.86,related
SK039,SK049,0.87,related
SK049,SK039,0.87,related
SK040,SK041,0.93,related
SK041,SK040,0.93,related
SK042,SK043,0.9,related
SK043,SK042,0.9,related
SK044,SK049,0.84,related
SK049,SK044,0.84,related
SK045,SK048,0.82,related
SK048,SK045,0.82,related
SK047,SK054,0.8,related
SK054,SK047,0.8,related
SK052,SK053,0.78,related
SK053,SK052,0.78,related
SK046,SK043,0.82,related
SK043,SK046,0.82,related
